geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
45220,"Tallahassee, FL",metro,,65261,2024
45300,"Tampa-St. Petersburg-Clearwater, FL",metro,,74392,2024
45460,"Terre Haute, IN",metro,,56594,2024
45500,"Texarkana, TX-AR",metro,,55646,2024
45780,"Toledo, OH",metro,,65486,2024
45820,"Topeka, KS",metro,,69888,2024
45900,"Traverse City, MI",metro,,80889,2024
45940,"Trenton-Princeton, NJ",metro,,100645,2024
46060,"Tucson, AZ",metro,,70315,2024
46140,"Tulsa, OK",metro,,69359,2024
46220,"Tuscaloosa, AL",metro,,61517,2024
46300,"Twin Falls, ID",metro,,68810,2024
46340,"Tyler, TX",metro,,74192,2024
46520,"Urban Honolulu, HI",metro,,106195,2024
46540,"Utica-Rome, NY",metro,,69779,2024
46660,"Valdosta, GA",metro,,57085,2024
46700,"Vallejo, CA",metro,,100401,2024
47020,"Victoria, TX",metro,,70236,2024
47220,"Vineland, NJ",metro,,67436,2024
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",metro,,82330,2024
47300,"Visalia, CA",metro,,71300,2024
47380,"Waco, TX",metro,,66205,2024
47460,"Walla Walla, WA",metro,,74202,2024
47580,"Warner Robins, GA",metro,,79345,2024
47664,"Warren-Troy-Farmington Hills, MI",division,19820,88280,2024
47764,"Washington, DC-MD",division,47900,106950,2024
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",metro,,126684,2024
47930,"Waterbury-Shelton, CT",metro,,86191,2024
47940,"Waterloo-Cedar Falls, IA",metro,,70811,2024
48060,"Watertown-Fort Drum, NY",metro,,66301,2024
48140,"Wausau, WI",metro,,77884,2024
48260,"Weirton-Steubenville, WV-OH",metro,,58784,2024
48300,"Wenatchee-East Wenatchee, WA",metro,,81938,2024
48424,"West Palm Beach-Boca Raton-Delray Beach, FL",division,33100,83581,2024
48540,"Wheeling, WV-OH",metro,,57418,2024
48620,"Wichita, KS",metro,,70655,2024
48660,"Wichita Falls, TX",metro,,65379,2024
48680,"Wildwood-The Villages, FL",metro,,76508,2024
48700,"Williamsport, PA",metro,,63917,2024
48864,"Wilmington, DE-MD-NJ",division,37980,90224,2024
48900,"Wilmington, NC",metro,,76471,2024
49020,"Winchester, VA-WV",metro,,84298,2024
49180,"Winston-Salem, NC",metro,,65975,2024
49340,"Worcester, MA",metro,,95939,2024
49420,"Yakima, WA",metro,,70656,2024
49620,"York-Hanover, PA",metro,,84829,2024
49660,"Youngstown-Warren, OH",metro,,56713,2024
49700,"Yuba City, CA",metro,,78179,2024
49740,"Yuma, AZ",metro,,62876,2024
